attempt_id,participant_id,participant_code,session_id,session_no,input_mode,role_label,status,quality_status,device_class,prompt_id,prompt_set_id,started_at,ended_at,submitted_at,raw_text_length,event_count,paired_key_count,keyup_coverage,paste_count,fixed_prompt_match
c97b499a-d6c5-446f-8487-edc9e3e36898,c86238f3-a5d3-41fc-b5c2-a9705a8ab594,A003,e74846a9-1f2f-47af-82fe-5ef25dd468b3,1,fixed,genuine,submitted,low_quality,desktop,ko_fixed_004,pilot_fixed_ko_v1,2026-05-11T02:28:11.196Z,2026-05-11T02:29:34.311Z,2026-05-11T02:29:34.311Z,177.0,2266.0,443.0,0.9822616407982262,0,0.0
a9c1370a-b7c7-498e-bbbc-2e8f1933d75b,c86238f3-a5d3-41fc-b5c2-a9705a8ab594,A003,e74846a9-1f2f-47af-82fe-5ef25dd468b3,1,fixed,genuine,submitted,low_quality,desktop,ko_fixed_005,pilot_fixed_ko_v1,2026-05-11T02:29:35.010Z,2026-05-11T02:31:16.626Z,2026-05-11T02:31:16.626Z,196.0,3052.0,588.0,0.98,0,0.0
922e7a6e-633a-4a40-bd64-ece27bb3f914,c86238f3-a5d3-41fc-b5c2-a9705a8ab594,A003,e74846a9-1f2f-47af-82fe-5ef25dd468b3,1,free,genuine,submitted,usable,desktop,ko_free_suggestion_001,pilot_free_suggestions_ko_v1,2026-05-11T02:31:17.538Z,2026-05-11T02:32:02.535Z,2026-05-11T02:32:02.535Z,92.0,1397.0,254.0,0.9694656488549618,0,
a1d69dd9-cdc1-45af-8a98-c19ff99393f4,c86238f3-a5d3-41fc-b5c2-a9705a8ab594,A003,e74846a9-1f2f-47af-82fe-5ef25dd468b3,1,free,genuine,submitted,usable,desktop,ko_free_suggestion_002,pilot_free_suggestions_ko_v1,2026-05-11T02:32:03.401Z,2026-05-11T02:33:18.560Z,2026-05-11T02:33:18.560Z,135.0,2450.0,454.0,0.9869565217391304,0,
aca0ae72-61dc-4e5b-80fc-b4c641923e9e,c86238f3-a5d3-41fc-b5c2-a9705a8ab594,A003,e74846a9-1f2f-47af-82fe-5ef25dd468b3,1,free,genuine,submitted,low_quality,desktop,ko_free_suggestion_003,pilot_free_suggestions_ko_v1,2026-05-11T02:33:19.827Z,2026-05-11T02:34:07.006Z,2026-05-11T02:34:07.006Z,65.0,1619.0,296.0,0.9801324503311258,0,
6ae951e8-7d3b-4d17-a5ea-cac81d137003,076a126d-b135-4afe-afe8-dd904bace059,A004,7695be97-af08-4dc5-b162-05a2f5732ee0,1,fixed,genuine,submitted,usable,desktop,ko_fixed_001,pilot_fixed_ko_v1,2026-05-11T02:39:17.220Z,2026-05-11T02:39:48.007Z,2026-05-11T02:39:48.007Z,54.0,811.0,136.0,1.0,0,1.0
14401f8f-d393-4166-a237-82bf10376f30,076a126d-b135-4afe-afe8-dd904bace059,A004,7695be97-af08-4dc5-b162-05a2f5732ee0,1,fixed,genuine,submitted,usable,desktop,ko_fixed_002,pilot_fixed_ko_v1,2026-05-11T02:39:49.613Z,2026-05-11T02:40:03.065Z,2026-05-11T02:40:03.065Z,44.0,631.0,106.0,1.0,0,1.0
fcecaa92-be1e-4b90-899a-82d056d35f48,076a126d-b135-4afe-afe8-dd904bace059,A004,7695be97-af08-4dc5-b162-05a2f5732ee0,1,fixed,genuine,submitted,usable,desktop,ko_fixed_003,pilot_fixed_ko_v1,2026-05-11T02:40:04.505Z,2026-05-11T02:40:21.477Z,2026-05-11T02:40:21.477Z,53.0,808.0,135.0,1.0,0,1.0
46afab88-0dc2-43e3-a35b-adb5517cc4f3,076a126d-b135-4afe-afe8-dd904bace059,A004,7695be97-af08-4dc5-b162-05a2f5732ee0,1,fixed,genuine,submitted,usable,desktop,ko_fixed_004,pilot_fixed_ko_v1,2026-05-11T02:40:22.816Z,2026-05-11T02:41:23.114Z,2026-05-11T02:41:23.114Z,176.0,2146.0,376.0,1.0,0,1.0
53440805-403b-43b7-9aa8-a8508a7b8615,076a126d-b135-4afe-afe8-dd904bace059,A004,7695be97-af08-4dc5-b162-05a2f5732ee0,1,fixed,genuine,submitted,usable,desktop,ko_fixed_005,pilot_fixed_ko_v1,2026-05-11T02:41:24.293Z,2026-05-11T02:42:38.053Z,2026-05-11T02:42:38.053Z,198.0,3029.0,536.0,1.0,0,1.0
1b923e4b-7a4f-4e59-a091-0056760a23c3,076a126d-b135-4afe-afe8-dd904bace059,A004,7695be97-af08-4dc5-b162-05a2f5732ee0,1,free,genuine,submitted,low_quality,desktop,ko_free_suggestion_001,pilot_free_suggestions_ko_v1,2026-05-11T02:42:39.437Z,2026-05-11T02:43:47.984Z,2026-05-11T02:43:47.984Z,71.0,1310.0,227.0,1.0,0,
715b74df-6170-46a1-8426-78d2e1fb223c,076a126d-b135-4afe-afe8-dd904bace059,A004,7695be97-af08-4dc5-b162-05a2f5732ee0,1,free,genuine,submitted,low_quality,desktop,ko_free_suggestion_002,pilot_free_suggestions_ko_v1,2026-05-11T02:43:49.245Z,2026-05-11T02:45:06.439Z,2026-05-11T02:45:06.439Z,63.0,1216.0,211.0,1.0,0,
155e4ada-b340-49f3-8ca3-02691cd287d8,076a126d-b135-4afe-afe8-dd904bace059,A004,7695be97-af08-4dc5-b162-05a2f5732ee0,1,free,genuine,submitted,usable,desktop,ko_free_suggestion_003,pilot_free_suggestions_ko_v1,2026-05-11T02:45:08.298Z,2026-05-11T02:45:55.016Z,2026-05-11T02:45:55.016Z,81.0,1266.0,216.0,1.0,0,
9acc0964-1f84-4326-8dfd-908353fd1331,ebb21244-3624-4c5e-8fae-b5d8ef4d828b,A005,469c588b-62f3-4e60-bfa6-c6578db7f4a2,1,fixed,genuine,submitted,usable,desktop,ko_fixed_001,pilot_fixed_ko_v1,2026-05-11T02:47:04.860Z,2026-05-11T02:47:21.628Z,2026-05-11T02:47:21.628Z,54.0,860.0,155.0,0.96875,0,1.0
b9bf1a28-3f1a-42b0-b3ac-7447756abee6,ebb21244-3624-4c5e-8fae-b5d8ef4d828b,A005,469c588b-62f3-4e60-bfa6-c6578db7f4a2,1,fixed,genuine,submitted,usable,desktop,ko_fixed_002,pilot_fixed_ko_v1,2026-05-11T02:47:23.872Z,2026-05-11T02:47:36.960Z,2026-05-11T02:47:36.960Z,44.0,632.0,111.0,0.9568965517241379,0,1.0
e3175d04-7bba-41c9-a15d-1d15fad08146,ebb21244-3624-4c5e-8fae-b5d8ef4d828b,A005,469c588b-62f3-4e60-bfa6-c6578db7f4a2,1,fixed,genuine,submitted,usable,desktop,ko_fixed_003,pilot_fixed_ko_v1,2026-05-11T02:47:38.096Z,2026-05-11T02:47:53.523Z,2026-05-11T02:47:53.523Z,53.0,756.0,134.0,0.9710144927536232,0,1.0
df9732e5-41a1-4bb6-9f3f-f8c7b29ef3b6,ebb21244-3624-4c5e-8fae-b5d8ef4d828b,A005,469c588b-62f3-4e60-bfa6-c6578db7f4a2,1,fixed,genuine,submitted,usable,desktop,ko_fixed_004,pilot_fixed_ko_v1,2026-05-11T02:47:56.002Z,2026-05-11T02:48:58.915Z,2026-05-11T02:48:58.915Z,176.0,2248.0,428.0,0.9749430523917996,0,1.0
26a06e80-5e0f-4931-b977-f506e67d16d5,ebb21244-3624-4c5e-8fae-b5d8ef4d828b,A005,469c588b-62f3-4e60-bfa6-c6578db7f4a2,1,fixed,genuine,submitted,low_quality,desktop,ko_fixed_005,pilot_fixed_ko_v1,2026-05-11T02:48:59.702Z,2026-05-11T02:50:03.287Z,2026-05-11T02:50:03.287Z,197.0,2837.0,532.0,0.9725776965265083,0,0.0
11c23c63-d8df-4376-b19e-2846c46945ea,ebb21244-3624-4c5e-8fae-b5d8ef4d828b,A005,469c588b-62f3-4e60-bfa6-c6578db7f4a2,1,free,genuine,submitted,usable,desktop,ko_free_suggestion_001,pilot_free_suggestions_ko_v1,2026-05-11T02:50:04.451Z,2026-05-11T02:50:46.946Z,2026-05-11T02:50:46.946Z,125.0,2016.0,368.0,0.9608355091383812,0,
8f79d2cb-28ad-4074-8ded-f64b5da5c20c,ebb21244-3624-4c5e-8fae-b5d8ef4d828b,A005,469c588b-62f3-4e60-bfa6-c6578db7f4a2,1,free,genuine,submitted,usable,desktop,ko_free_suggestion_002,pilot_free_suggestions_ko_v1,2026-05-11T02:50:47.513Z,2026-05-11T02:51:45.948Z,2026-05-11T02:51:45.948Z,154.0,2541.0,464.0,0.9830508474576272,0,
47b75058-b9a4-41d5-9fbd-380d1727fed0,ebb21244-3624-4c5e-8fae-b5d8ef4d828b,A005,469c588b-62f3-4e60-bfa6-c6578db7f4a2,1,free,genuine,submitted,usable,desktop,ko_free_suggestion_003,pilot_free_suggestions_ko_v1,2026-05-11T02:51:46.574Z,2026-05-11T02:52:28.870Z,2026-05-11T02:52:28.870Z,116.0,1938.0,355.0,0.9673024523160763,0,
c26d8841-b4ec-40d2-bed4-227b3b80848d,45e4a91a-62a8-414b-b354-32a793f292da,A006,546f1a79-d704-4f35-bbc4-c1e04f1ccf5d,1,fixed,genuine,submitted,usable,desktop,ko_fixed_001,pilot_fixed_ko_v1,2026-05-11T03:47:25.809Z,2026-05-11T03:47:56.034Z,2026-05-11T03:47:56.034Z,54.0,844.0,159.0,0.9875776397515528,0,1.0
