dataset,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes,tf_num_tensors,tf_num_bytes
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s034,200,200,10000,10000,0.09,0.09,0.09,0.91,0.975243,0.006812724594740895,9290.5,0.013519607843173777,137.90000000037253,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s035,200,200,10000,10000,0.0369,0.035,0.03595,0.9631372549019608,0.9914565,0.00558048977965238,6813.5999999996275,0.011235294117610536,114.59999999962747,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s036,200,200,10000,10000,0,0,0,1,1,0.4185417411332611,4848.5,0.008323529411801228,84.90000000037253,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s037,200,200,10000,10000,0.29,0.29,0.29,0.71,0.8032295,0.0033363307233576565,6344.0999999996275,0.013303921568737019,135.7000000011176,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s038,200,200,10000,10000,0.011,0.01,0.010499999999999999,0.9890196078431372,0.998987,0.048223939310405,6285.9000000003725,0.012549019607843137,128,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s039,200,200,10000,10000,0.0132,0.015,0.0141,0.986764705882353,0.998738,0.05699931744497475,5383.300000000745,0.012627450980465202,128.80000000074506,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s040,200,200,10000,10000,0.0143,0.015,0.01465,0.985686274509804,0.999182,0.04750228037863005,6086.10000000149,0.013999999999890433,142.7999999988824,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s041,200,200,10000,10000,0.02,0.02,0.02,0.98,0.99726875,0.15925808632073182,5760,0.014539215686164942,148.2999999988824,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s042,200,200,10000,10000,0.005,0.005,0.005,0.995,0.9999185,0.039393637035650755,5984.800000000745,0.0125,127.5,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s043,200,200,10000,10000,0.0007,0,0.00035,0.999313725490196,0.99998,0.338759187405326,5507.800000000745,0.010411764705809307,106.19999999925494,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s044,200,200,10000,10000,0.035,0.035,0.035,0.965,0.995786,0.010848637300788206,6233,0.011176470588235295,114,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s046,200,200,10000,10000,0.095,0.095,0.095,0.905,0.97227,0.01861920535363932,6638.4000000003725,0.014333333333260288,146.19999999925494,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s047,200,200,10000,10000,0.045,0.045,0.045,0.955,0.9896835,0.011174228969140087,6181.39999999851,0.013519607843173777,137.90000000037253,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s048,200,200,10000,10000,0.0281,0.03,0.02905,0.9718627450980392,0.9976105,0.02471173231955762,8045,0.012578431372622064,128.30000000074506,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s049,200,200,10000,10000,0.005,0.005,0.005,0.995,0.9994475,0.05722887611774432,4649.4000000003725,0.011450980392229908,116.80000000074506,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s050,200,200,10000,10000,0.0474,0.045,0.0462,0.9526470588235294,0.9918305,0.03659508100631748,7052.299999998882,0.012960784313835058,132.2000000011176,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s051,200,200,10000,10000,0.04,0.04,0.04,0.96,0.993726,0.02856190465229772,10180,0.013539215686237987,138.09999999962747,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s052,200,200,10000,10000,0.005,0.005,0.005,0.995,0.9991055,0.006377021632816854,5171,0.009019607843137255,92,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s053,200,200,10000,10000,0.0046,0.005,0.0048000000000000004,0.9953921568627451,0.9998585,0.08112163914576667,7404.199999999255,0.009813725490159556,100.09999999962747,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s054,200,200,10000,10000,0.09,0.09,0.09,0.91,0.9676895,0.00810466725264921,8327.400000000373,0.01359803921561323,138.69999999925494,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s055,200,200,10000,10000,0.0062,0.005,0.0056,0.9938235294117647,0.99983,0.06713649722295989,6419,0.009725490196005387,99.19999999925494,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s056,200,200,10000,10000,0.053,0.055,0.054,0.9469607843137255,0.9899745,0.028485258200433846,7061.699999999255,0.01256862745108996,128.2000000011176,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s057,200,200,10000,10000,0.0465,0.045,0.04575,0.9535294117647058,0.988931,0.015282056061869314,8478.300000000745,0.012941176470588235,132,not_available,not_available,not_available,not_available
dsl,1D-CNN TFJS,browser_worker,s002,200,200,10000,10000,0.34,0.34,0.34,0.66,0.6779645,0.47846776247024536,321854.9000000004,0.08019607843137255,818,not_available,not_available,30,2631092
dsl,1D-CNN TFJS,browser_worker,s003,200,200,10000,10000,0.29,0.29,0.29,0.71,0.74273425,0.44203197956085205,4855.39999999851,0.026539215686384076,270.7000000011176,not_available,not_available,48,2644356
dsl,1D-CNN TFJS,browser_worker,s004,200,200,10000,10000,0.62,0.62,0.62,0.38,0.387862,0.4482663571834564,4977.200000001118,0.026176470588235294,267,not_available,not_available,66,2657620
dsl,1D-CNN TFJS,browser_worker,s005,200,200,10000,10000,0.1054,0.105,0.10519999999999999,0.8946078431372549,0.9282585,0.3467549979686737,4984.200000001118,0.026499999999890434,270.2999999988824,not_available,not_available,84,2670884
dsl,1D-CNN TFJS,browser_worker,s007,200,200,10000,10000,0.465,0.465,0.465,0.535,0.5556565,0.4050135314464569,4966.300000000745,0.026882352941103426,274.19999999925494,not_available,not_available,102,2684148
dsl,1D-CNN TFJS,browser_worker,s008,200,200,10000,10000,0.3231,0.325,0.32405,0.6768627450980392,0.76474875,0.4747495949268341,4990.699999999255,0.026754901960820837,272.90000000037253,not_available,not_available,120,2697412
dsl,1D-CNN TFJS,browser_worker,s010,200,200,10000,10000,0.1656,0.165,0.1653,0.8344117647058824,0.90540675,0.4613937437534332,4956.9000000003725,0.02616666666670319,266.90000000037253,not_available,not_available,138,2710676
dsl,1D-CNN TFJS,browser_worker,s011,200,200,10000,10000,0.4399,0.44,0.43995,0.5600980392156862,0.596529,0.4800865650177002,4966.300000000745,0.026813725490196078,273.5,not_available,not_available,156,2723940
dsl,1D-CNN TFJS,browser_worker,s012,200,200,10000,10000,0.1613,0.16,0.16065000000000002,0.8387254901960784,0.8985045,0.4450160562992096,4994.0999999996275,0.027009803921568626,275.5,not_available,not_available,174,2737204
dsl,1D-CNN TFJS,browser_worker,s013,200,200,10000,10000,0.2458,0.245,0.2454,0.7542156862745099,0.823066,0.3873445987701416,4965.300000000745,0.02659803921575932,271.30000000074506,not_available,not_available,192,2750468
dsl,1D-CNN TFJS,browser_worker,s015,200,200,10000,10000,0.235,0.235,0.235,0.765,0.8442665,0.4371120035648346,4960.5999999996275,0.026715686274509803,272.5,not_available,not_available,210,2763732
dsl,1D-CNN TFJS,browser_worker,s016,200,200,10000,10000,0.1534,0.155,0.1542,0.8465686274509804,0.932692,0.2893580198287964,4998.0999999996275,0.02665686274513456,271.90000000037253,not_available,not_available,228,2776996
dsl,1D-CNN TFJS,browser_worker,s017,200,200,10000,10000,0.1068,0.105,0.1059,0.893235294117647,0.9489505,0.42868572473526,4996.5,0.02694117647066128,274.80000000074506,not_available,not_available,246,2790260
dsl,1D-CNN TFJS,browser_worker,s018,200,200,10000,10000,0.42,0.42,0.42,0.58,0.63200325,0.48452872037887573,4961.699999999255,0.026931372549129175,274.7000000011176,not_available,not_available,264,2803524
dsl,1D-CNN TFJS,browser_worker,s019,200,200,10000,10000,0.2487,0.25,0.24935000000000002,0.7512745098039215,0.8226855,0.43386951088905334,4958.5,0.027029411764632836,275.69999999925494,not_available,not_available,282,2816788
dsl,1D-CNN TFJS,browser_worker,s020,200,200,10000,10000,0.4007,0.4,0.40035,0.5993137254901961,0.62597175,0.4427735507488251,4998.799999998882,0.02665686274513456,271.90000000037253,not_available,not_available,300,2830052
dsl,1D-CNN TFJS,browser_worker,s021,200,200,10000,10000,0.325,0.325,0.325,0.675,0.75851175,0.44350022077560425,5015.799999998882,0.026843137254975006,273.80000000074506,not_available,not_available,318,2843316
